stage,process,granularity,n_tasks,cpu_hours,cpu_hours_range,cpu_hours_total,peak_rss_gb,peak_rss_gb_range,realtime_h,realtime_h_range,workdir_gb,workdir_gb_range
Bin QC (GUNC),GUNC_RUN,per assembly x binner,385,3.08,1.54-6.37,1217.4,9.3,8.8-9.9,0.76,0.32-1.63,0.12,0.04-0.31
Bin QC (GUNC),CONCAT_GUNC_TSV,once per run,2,0.0,0.0-0.0,0.0,0.03,0.01-0.04,0.0,0.0-0.0,0.0,0.0-0.0
Annotation (Prodigal/Prokka),PROKKA,per bin,50086,0.08,0.0-2.28,4141.5,0.4,0.02-3.9,0.04,0.0-1.32,0.02,0.0-0.61
Annotation (Prodigal/Prokka),PRODIGAL,per assembly,55,0.71,0.34-1.36,40.2,0.08,0.05-0.14,0.72,0.34-1.39,0.59,0.24-1.3
Taxonomic classification (CAT),CATPACK_BINS,per assembly x binner,35,23.95,12.36-41.14,881.7,112.4,111.7-116.0,4.68,2.36-7.72,1.64,0.61-2.59
Taxonomic classification (CAT),CATPACK_ADDNAMES_BINS,per assembly x binner,35,0.0,0.0-0.0,0.0,0.01,0.0-0.08,0.0,0.0-0.0,0.0,0.0-0.0
Taxonomic classification (CAT),CATPACK_SUMMARISE_BINS,per assembly x binner,4,0.0,0.0-0.0,0.0,0.02,0.01-0.03,0.0,0.0-0.0,0.0,0.0-0.0
Taxonomic classification (GTDB-Tk),GTDBTK_CLASSIFYWF,per assembly x binner,385,0.46,0.04-1.16,188.5,183.0,14.7-206.6,1.11,0.02-2.88,0.32,0.0-0.32
Taxonomic classification (GTDB-Tk),GTDBTK_SUMMARY,once per run,2,0.01,0.0-0.01,0.0,0.11,0.08-0.15,0.01,0.0-0.02,0.02,0.0-0.03
Reporting,MULTIQC,once per run,2,0.16,0.03-0.29,0.3,8.1,4.2-12.0,0.3,0.08-0.51,0.8,0.24-1.35
Reporting,MAG_DEPTHS_SUMMARY,once per run,2,0.0,0.0-0.0,0.0,0.07,0.06-0.07,0.0,0.0-0.0,0.0,0.0-0.0
Reporting,BIN_SUMMARY,once per run,2,0.0,0.0-0.0,0.0,0.14,0.09-0.19,0.0,0.0-0.0,0.03,0.01-0.05
