task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2801	9e/a78714	4350887	NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-zymo_fecal.131)	CACHED	0	2026-07-31 09:28:14.917	2h 10m 50s	2m 3s	178.9%	410.9 MB	637.8 MB	59.5 GB	84.1 MB
2802	de/d6f1d4	4350885	NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-zymo_fecal.132)	CACHED	0	2026-07-31 09:25:14.932	2h 11m 50s	3m 3s	179.3%	393.8 MB	633.4 MB	89.4 GB	107.1 MB
2800	04/afe9d9	4350884	NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-zymo_fecal.130)	CACHED	0	2026-07-31 09:25:14.921	2h 12m 15s	3m 33s	179.8%	365.8 MB	690 MB	94.4 GB	120.7 MB
2804	83/e750bc	4350888	NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-zymo_fecal.134)	CACHED	0	2026-07-31 09:30:24.932	2h 7m 40s	1m 13s	161.0%	339 MB	614.5 MB	32.1 GB	50.9 MB
2803	ed/689f8d	4350886	NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-zymo_fecal.133)	CACHED	0	2026-07-31 09:28:09.916	2h 8m 55s	46.9s	170.4%	312.5 MB	3.1 GB	23.6 GB	41.7 MB
2811	28/073e3e	4358974	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.007)	CACHED	0	2026-08-01 18:28:21.075	35m 50s	1m 55s	169.9%	356.1 MB	650 MB	25.3 GB	62 MB
2818	0e/74547b	4358980	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.014)	CACHED	0	2026-08-01 18:30:01.090	37m	4m 9s	181.0%	431.2 MB	642.6 MB	77.9 GB	121.1 MB
2817	46/9f54a7	4358975	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.013)	CACHED	0	2026-08-01 18:29:01.077	39m 25s	5m 58s	172.1%	444.8 MB	725.5 MB	155.7 GB	159.1 MB
2827	bc/42072c	4359041	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.023)	CACHED	0	2026-08-01 18:45:21.122	32m 5s	3m 30s	172.6%	421.6 MB	651.2 MB	70.8 GB	107.7 MB
2822	44/9590c8	4359012	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.018)	CACHED	0	2026-08-01 18:37:16.085	34m 10s	4m 6s	181.6%	465.1 MB	658.5 MB	76.4 GB	117.7 MB
2824	cb/0e0063	4359011	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.020)	CACHED	0	2026-08-01 18:37:11.084	33m 15s	3m 17s	181.3%	404.4 MB	650.3 MB	50.7 GB	103 MB
2823	d2/e74aa4	4359007	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.019)	CACHED	0	2026-08-01 18:35:51.080	33m 35s	2m 41s	169.5%	396.5 MB	3.1 GB	41.4 GB	78 MB
2821	2c/396b33	4359014	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.017)	CACHED	0	2026-08-01 18:37:21.109	32m 40s	2m 53s	172.2%	406.1 MB	631 MB	46.4 GB	88.3 MB
2829	e6/bcfd5c	4359021	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.025)	CACHED	0	2026-08-01 18:39:26.100	33m 35s	3m 53s	177.1%	381.7 MB	614 MB	75.1 GB	103.3 MB
2828	ca/c40bf2	4359019	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.024)	CACHED	0	2026-08-01 18:39:01.091	34m 5s	4m 31s	170.5%	422.9 MB	640.2 MB	91.2 GB	128.2 MB
2831	76/4e11b8	4359024	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.027)	CACHED	0	2026-08-01 18:40:11.094	35m	5m 26s	182.6%	433.2 MB	653.6 MB	103 GB	149.8 MB
2830	f1/f5748a	4358988	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.026)	CACHED	0	2026-08-01 18:31:21.079	37m 50s	4m 5s	182.2%	416.5 MB	605.9 MB	67.8 GB	117.6 MB
2836	be/5e15c6	4359029	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.032)	CACHED	0	2026-08-01 18:41:26.244	32m 55s	3m 22s	180.4%	399.3 MB	670 MB	58.9 GB	97.1 MB
2832	89/80b0c2	4359025	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.028)	CACHED	0	2026-08-01 18:40:11.110	33m 15s	3m 19s	170.9%	422.3 MB	652.5 MB	61.6 GB	95.4 MB
2833	e8/29f26d	4359026	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.029)	CACHED	0	2026-08-01 18:40:21.102	35m	4m 53s	182.4%	420.4 MB	652.2 MB	80.4 GB	134.7 MB
2834	82/2ac949	4359031	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.030)	CACHED	0	2026-08-01 18:41:56.102	33m 15s	3m 18s	172.1%	374.9 MB	689.3 MB	53.3 GB	92.7 MB
2840	0a/2f6001	4359042	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.036)	CACHED	0	2026-08-01 18:45:21.136	28m 35s	20.5s	150.5%	141.3 MB	249.2 MB	2.5 GB	26.1 MB
2837	fc/6792e9	4359037	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.033)	CACHED	0	2026-08-01 18:44:11.143	32m	3m 28s	177.2%	407.8 MB	610.8 MB	74 GB	99.7 MB
2838	6b/e23d60	4359040	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.034)	CACHED	0	2026-08-01 18:45:16.114	34m	6m 21s	171.2%	446.2 MB	688.6 MB	158.9 GB	173 MB
2841	a6/aab581	4359046	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.037)	CACHED	0	2026-08-01 18:45:56.117	31m	2m 56s	179.3%	362.5 MB	650.5 MB	57.4 GB	86.7 MB
2842	0b/0c46a6	4359059	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.038)	CACHED	0	2026-08-01 18:49:21.129	30m 5s	2m 47s	170.6%	415.7 MB	594.5 MB	50.2 GB	85.7 MB
2847	ba/90ae2f	4359056	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.043)	CACHED	0	2026-08-01 18:48:26.131	29m	2m 8s	178.3%	348.3 MB	595.5 MB	35.9 GB	71 MB
2844	14/25d535	4359052	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.040)	CACHED	0	2026-08-01 18:47:46.237	27m 35s	19.9s	157.3%	183.7 MB	317.6 MB	5.2 GB	24.4 MB
2850	fc/9d3d83	4359062	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.046)	CACHED	0	2026-08-01 18:49:31.316	33m 55s	7m 14s	177.7%	1.6 GB	1.8 GB	176.8 GB	187.1 MB
2845	e2/cf8d9c	4359055	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.041)	CACHED	0	2026-08-01 18:47:56.121	28m	51s	171.5%	229.8 MB	425.5 MB	9.8 GB	39.4 MB
2843	cd/f3fe3f	4359047	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.039)	CACHED	0	2026-08-01 18:46:21.129	32m 5s	3m 46s	177.2%	408.8 MB	599.9 MB	105 GB	120 MB
2849	8f/0c012f	4359064	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.045)	CACHED	0	2026-08-01 18:49:31.348	30m 55s	3m 39s	180.2%	377.2 MB	663.7 MB	59 GB	106.1 MB
2839	08/6f8bfb	4359038	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.035)	CACHED	0	2026-08-01 18:44:11.166	31m	1m 44s	166.5%	356.9 MB	635.4 MB	28.4 GB	56.8 MB
