task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3481	c8/1e42f6	4327529	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-MaxBin2-D09)	CACHED	0	2026-07-08 15:23:04.230	1m 4s	5s	79.0%	65.8 MB	143.3 MB	74.2 MB	2.6 KB
3474	bb/660be8	4327337	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-COMEBin-D09)	CACHED	0	2026-07-08 15:17:25.458	6m 18s	5s	77.6%	57.4 MB	131.8 MB	121.3 MB	8.4 KB
3475	80/0d5026	4327341	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-MaxBin2-D09)	CACHED	0	2026-07-08 15:17:25.558	6m 18s	5s	76.6%	57 MB	131.5 MB	79.5 MB	3.1 KB
3511	09/8b675e	4327278	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-CONCOCT-D10)	CACHED	0	2026-07-08 15:17:24.227	5m 40s	5s	76.9%	57.4 MB	131.5 MB	78.2 MB	3.8 KB
3506	79/2172af	4327296	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-COMEBin-D10)	CACHED	0	2026-07-08 15:17:24.749	5m 39s	4s	74.4%	57.2 MB	131.6 MB	73.5 MB	5.1 KB
3510	9d/93e3ac	4327291	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-MaxBin2-D10)	CACHED	0	2026-07-08 15:17:24.618	5m 39s	4s	75.3%	60.7 MB	137 MB	53.3 MB	1.9 KB
3487	ca/00670e	4327339	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-MetaBAT2-D05)	CACHED	0	2026-07-08 15:17:25.526	6m 18s	7s	83.1%	42.1 MB	112.6 MB	106.1 MB	7.8 KB
3480	ad/16c231	4327539	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-COMEBin-D09)	CACHED	0	2026-07-08 15:23:04.448	1m 4s	4s	76.4%	62.8 MB	140.5 MB	111.3 MB	7.6 KB
3501	cb/666151	4327543	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-MetaBAT2-D01)	CACHED	0	2026-07-08 15:23:04.568	1m 4s	5s	81.4%	42.8 MB	105.3 MB	84.9 MB	6 KB
3485	55/c3563b	4327344	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-COMEBin-D05)	CACHED	0	2026-07-08 15:17:25.615	6m 3s	4s	76.9%	57.3 MB	131.7 MB	116.9 MB	8.2 KB
3518	64/7f3420	4327562	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-CONCOCT-D05)	CACHED	0	2026-07-08 15:23:11.224	1m 2s	6s	83.1%	46.5 MB	117 MB	116.8 MB	4.3 KB
3502	ac/173017	4327541	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-MaxBin2-D01)	CACHED	0	2026-07-08 15:23:04.532	1m 4s	5s	79.5%	45.2 MB	105.3 MB	72.1 MB	2.3 KB
3514	0a/b30933	4327561	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-COMEBin-D05)	CACHED	0	2026-07-08 15:23:11.206	1m 3s	4s	76.1%	61.4 MB	137.2 MB	110 MB	4.6 KB
3523	c7/e5e5e8	4327359	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-MetaBinner-D08)	CACHED	0	2026-07-08 15:17:25.835	6m 48s	6s	83.2%	63.1 MB	140.3 MB	104.3 MB	3.7 KB
3525	9a/9cbe96	4327517	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-CONCOCT-D08)	CACHED	0	2026-07-08 15:23:03.765	1m 5s	7s	84.9%	65.9 MB	143.3 MB	132.5 MB	4.5 KB
3513	5f/1aef32	4327578	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-SemiBin2-D05)	CACHED	0	2026-07-08 15:23:28.783	1m 5s	4s	75.8%	37.4 MB	62.5 MB	105.3 MB	5.6 KB
3489	8c/ba487e	4327352	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-MaxBin2-D05)	CACHED	0	2026-07-08 15:17:25.738	6m 18s	5s	81.2%	40.4 MB	91.1 MB	96.4 MB	3.6 KB
3528	e0/011972	4327560	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-MetaBinner-D04)	CACHED	0	2026-07-08 15:23:10.981	1m 3s	7s	82.4%	57.2 MB	131.5 MB	109.6 MB	5.4 KB
3537	57/16b8fa	4327345	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-MetaBinner-D08)	CACHED	0	2026-07-08 15:17:25.629	6m 3s	6s	83.3%	61 MB	137.2 MB	106.7 MB	4.4 KB
3544	a4/deb8dc	4327554	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-MetaBinner-D06)	CACHED	0	2026-07-08 15:23:08.987	1m 5s	5s	80.7%	47.1 MB	117 MB	86.8 MB	3.6 KB
3551	51/369a49	4327546	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-MetaBinner-D06)	CACHED	0	2026-07-08 15:23:04.642	1m 4s	5s	79.7%	46.7 MB	117 MB	83 MB	3.1 KB
3515	db/4375a3	4327643	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-MetaBAT2-D05)	CACHED	0	2026-07-08 15:23:43.770	16m 50s	7s	73.5%	41.6 MB	105.3 MB	99.9 MB	6.9 KB
3521	ba/e9e0c7	4327530	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-SemiBin2-D08)	CACHED	0	2026-07-08 15:23:04.253	1m 4s	5s	77.9%	57.3 MB	131.5 MB	119.7 MB	6.5 KB
3539	7b/0dbdb1	4327349	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-CONCOCT-D08)	CACHED	0	2026-07-08 15:17:25.686	6m 18s	8s	86.3%	43.4 MB	105.3 MB	147.4 MB	5.4 KB
3524	0a/7c4ab9	4327542	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-MaxBin2-D08)	CACHED	0	2026-07-08 15:23:04.550	1m 4s	4s	76.6%	61.2 MB	137.2 MB	76.5 MB	2.4 KB
3546	7e/84e3f8	4327557	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-CONCOCT-D06)	CACHED	0	2026-07-08 15:23:09.863	1m 4s	8s	77.6%	45.3 MB	105.3 MB	124.7 MB	4.5 KB
3564	07/9cb0a6	4327664	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (MEGAHIT-MetaBinner-D02)	CACHED	0	2026-07-08 15:23:44.109	17m 30s	6s	70.7%	97.3 MB	123 MB	64.3 MB	2.4 KB
3532	d5/fb1afd	4327569	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-CONCOCT-D04)	CACHED	0	2026-07-08 15:23:12.009	1m 2s	9s	86.9%	46.5 MB	117 MB	177.9 MB	6.5 KB
3541	cf/65aa57	4327565	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-COMEBin-D06)	CACHED	0	2026-07-08 15:23:11.348	1m 2s	5s	74.2%	52.5 MB	126.5 MB	117 MB	5.9 KB
3548	b9/43af19	4327548	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-COMEBin-D06)	CACHED	0	2026-07-08 15:23:04.685	1m 4s	4s	76.7%	36 MB	60.9 MB	107.1 MB	4.3 KB
3553	28/5b5468	4327551	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-CONCOCT-D06)	CACHED	0	2026-07-08 15:23:04.739	1m 4s	6s	81.8%	44.4 MB	114.9 MB	113.7 MB	4 KB
3556	02/8ba8d1	4327323	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-MetaBinner-D04)	CACHED	0	2026-07-08 15:17:25.218	5m 44s	6s	82.0%	66 MB	143.3 MB	100.1 MB	4.2 KB
3520	63/5efd74	4327545	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-COMEBin-D08)	CACHED	0	2026-07-08 15:23:04.610	1m 4s	5s	77.2%	57.4 MB	131.8 MB	122.9 MB	7.8 KB
3517	f1/557cf1	4327659	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-MaxBin2-D05)	CACHED	0	2026-07-08 15:23:44.039	17m	7s	67.4%	46.5 MB	117.1 MB	94.8 MB	3.1 KB
3522	a5/78d640	4327547	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-MetaBAT2-D08)	CACHED	0	2026-07-08 15:23:04.664	1m 4s	7s	81.8%	61 MB	137.7 MB	112.5 MB	8.1 KB
3562	a3/0d899f	4327681	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (MEGAHIT-SemiBin2-D02)	CACHED	0	2026-07-08 15:24:08.809	16m 15s	5s	79.4%	97.9 MB	131.5 MB	87.1 MB	3.4 KB
3571	27/fbed2e	4327312	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (SPAdes-MetaBinner-D10)	CACHED	0	2026-07-08 15:17:25.019	5m 44s	5s	81.8%	102 MB	131.5 MB	66.1 MB	2.4 KB
3563	89/84285b	4327682	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (MEGAHIT-MetaBAT2-D02)	CACHED	0	2026-07-08 15:24:08.823	16m 15s	6s	83.3%	97.6 MB	124 MB	81.7 MB	3.8 KB
3542	5a/c693f7	4327579	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-SemiBin2-D06)	CACHED	0	2026-07-08 15:23:28.804	1m 5s	4s	76.9%	65.8 MB	143.3 MB	112.3 MB	7.5 KB
3549	d2/c46a08	4327556	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-SemiBin2-D06)	CACHED	0	2026-07-08 15:23:09.438	1m 4s	5s	66.7%	46.3 MB	117 MB	102.9 MB	5.8 KB
3557	05/22cd95	4327333	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-CONCOCT-D04)	CACHED	0	2026-07-08 15:17:25.366	6m 18s	8s	86.7%	38.8 MB	105.3 MB	158.3 MB	5.3 KB
3536	d3/2b1f65	4327533	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-MetaBAT2-D08)	CACHED	0	2026-07-08 15:23:04.322	1m 4s	8s	84.5%	57.2 MB	131.8 MB	123.2 MB	9.2 KB
3578	12/047e49	4327647	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (MEGAHIT-MetaBinner-D06)	CACHED	0	2026-07-08 15:23:43.850	17m 20s	6s	65.4%	102.1 MB	127.6 MB	65.1 MB	2.6 KB
3569	98/5bc22f	4327319	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (SPAdes-SemiBin2-D10)	CACHED	0	2026-07-08 15:17:25.145	5m 44s	6s	77.2%	103 MB	127.6 MB	85.7 MB	3.7 KB
3534	95/354251	4327534	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-SemiBin2-D08)	CACHED	0	2026-07-08 15:23:04.345	1m 4s	5s	77.8%	46.8 MB	117.3 MB	132.3 MB	9.3 KB
3565	95/d6e3b8	4327697	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (MEGAHIT-CONCOCT-D02)	CACHED	0	2026-07-08 15:24:09.086	16m 50s	7s	83.0%	97.3 MB	126.6 MB	103.2 MB	5.1 KB
3538	1c/566d4b	4327536	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-MaxBin2-D08)	CACHED	0	2026-07-08 15:23:04.385	1m 4s	4s	80.9%	61 MB	137.2 MB	83 MB	3.3 KB
3572	ae/91e1f9	4327321	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (SPAdes-CONCOCT-D10)	CACHED	0	2026-07-08 15:17:25.183	5m 44s	6s	85.3%	101.5 MB	127.4 MB	99 MB	3.7 KB
3535	db/7688aa	4327531	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-COMEBin-D08)	CACHED	0	2026-07-08 15:23:04.279	1m 4s	6s	78.6%	46.8 MB	117.3 MB	136.4 MB	9.6 KB
3570	9c/2a29d3	4327325	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (SPAdes-MetaBAT2-D10)	CACHED	0	2026-07-08 15:17:25.245	5m 43s	6s	83.2%	101.4 MB	137.2 MB	80.5 MB	4.2 KB
3543	a1/e6f233	4327646	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-MetaBAT2-D06)	CACHED	0	2026-07-08 15:23:43.835	17m 20s	8s	70.9%	44.6 MB	91.3 MB	103.9 MB	8.7 KB
3576	26/f26c6f	4327655	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (MEGAHIT-SemiBin2-D06)	CACHED	0	2026-07-08 15:23:43.966	17m	6s	75.4%	102.5 MB	127.5 MB	90.5 MB	3.7 KB
3550	5c/d672cb	4327570	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-MetaBAT2-D06)	CACHED	0	2026-07-08 15:23:12.032	1m 2s	7s	77.4%	57.3 MB	131.6 MB	96.5 MB	7.2 KB
3545	4e/0a68b6	4327649	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (METAMDBG-MaxBin2-D06)	CACHED	0	2026-07-08 15:23:43.879	17m 20s	5s	77.1%	44.5 MB	114.9 MB	83.3 MB	3.1 KB
3552	75/b317d1	4327574	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (FLYE-MaxBin2-D06)	CACHED	0	2026-07-08 15:23:12.359	1m 1s	5s	79.5%	60.9 MB	137.2 MB	79.3 MB	2.9 KB
3585	be/a6fa31	4327662	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (SPAdes-MetaBinner-D05)	CACHED	0	2026-07-08 15:23:44.083	17m	6s	84.3%	186.4 MB	211.9 MB	73.9 MB	2.8 KB
3573	6e/704f6f	4327324	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (SPAdes-COMEBin-D10)	CACHED	0	2026-07-08 15:17:25.232	5m 44s	5s	80.6%	103.3 MB	127.6 MB	92.5 MB	4 KB
3592	d7/2170c1	4327582	NFCORE_MAG:MAG:DEPTHS:MAG_DEPTHS (MEGAHIT-MetaBinner-D10)	CACHED	0	2026-07-08 15:23:28.852	1m 5s	4s	80.3%	69.1 MB	94.8 MB	62 MB	2.4 KB
